EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,LATITUDE_deg,LONGITUDE_deg,ALTITUDE_km,ION_DENSITY_m-3,ELECTRON_TEMPERATURE_K,ISS_PITCH_ANGLE_deg,SUNLIGHT_%,TIME_CODE_CORRECTION_
2020-09-14T00:02:57.159Z,0.700000,94.2340,420.404,5.65000e+10,2583.00,358.000,100.000,0
2020-09-14T00:02:58.160Z,0.649000,94.2700,420.411,6.25000e+10,-999.000,358.000,100.000,0
2020-09-14T00:02:59.164Z,0.598000,94.3060,420.418,-1.00000e+31,-999.000,358.000,100.000,0
2020-09-14T00:03:03.168Z,0.393000,94.4500,420.447,-1.00000e+31,-999.000,358.000,100.000,0
2020-09-14T00:03:04.167Z,0.342000,94.4860,420.454,-1.00000e+31,-999.000,358.000,100.000,0
2020-09-14T00:03:04.167Z,0.342000,94.4860,420.454,5.77000e+10,2517.00,358.000,100.000,0
2020-09-14T00:03:05.168Z,0.291000,94.5210,420.461,5.76000e+10,2416.00,358.000,100.000,0
2020-09-14T00:03:06.167Z,0.240000,94.5570,420.468,6.52000e+10,2694.00,358.000,100.000,0
2020-09-14T00:03:07.168Z,0.189000,94.5930,420.475,6.54000e+10,2117.00,358.000,100.000,0
2020-09-14T00:03:08.172Z,0.138000,94.6290,420.482,5.78000e+10,2616.00,358.000,100.000,0
2020-09-14T00:03:09.171Z,0.0870000,94.6650,420.490,6.10000e+10,2440.00,358.000,100.000,0
2020-09-14T00:03:10.171Z,0.0360000,94.7010,420.497,5.87000e+10,2639.00,358.000,100.000,0
2020-09-14T00:03:11.176Z,-0.0150000,94.7370,420.504,6.00000e+10,2349.00,358.000,100.000,0
2020-09-14T00:03:12.176Z,-0.0660000,94.7720,420.511,6.60000e+10,2821.00,358.000,100.000,0
2020-09-14T00:03:13.175Z,-0.117000,94.8080,420.519,6.29000e+10,2256.00,358.000,100.000,0
2020-09-14T00:03:14.176Z,-0.168000,94.8440,420.526,6.72000e+10,2579.00,358.000,100.000,0
2020-09-14T00:03:15.180Z,-0.219000,94.8800,420.534,6.09000e+10,-999.000,358.000,100.000,0
2020-09-14T00:03:16.179Z,-0.270000,94.9160,420.541,6.70000e+10,2464.00,358.000,100.000,0
2020-09-14T00:03:17.180Z,-0.321000,94.9520,420.549,6.03000e+10,2086.00,358.000,100.000,0
2020-09-14T00:03:18.180Z,-0.372000,94.9880,420.556,6.06000e+10,2681.00,358.000,100.000,0
2020-09-14T00:03:19.183Z,-0.422000,95.0240,420.564,6.86000e+10,2459.00,358.000,100.000,0
2020-09-14T00:03:20.183Z,-0.473000,95.0600,420.571,6.66000e+10,-999.000,358.000,100.000,0
2020-09-14T00:03:21.184Z,-0.524000,95.0960,420.579,6.86000e+10,2506.00,358.000,100.000,0
2020-09-14T00:03:22.183Z,-0.575000,95.1320,420.586,6.72000e+10,2448.00,358.000,100.000,0
2020-09-14T00:03:23.184Z,-0.626000,95.1680,420.594,6.02000e+10,-999.000,358.000,100.000,0
