#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         LWS>Living With a Star
#     SOURCE_NAME                     ISS>International Space Station
#     DISCIPLINE                      Space Physics>Ionospheric Science
#     DATA_TYPE                       SP>Summary Parameter
#     DESCRIPTOR                      FPMU>Floating Potential Measurement Unit
#     FILE_NAMING_CONVENTION          source_datatype_descriptor_yyyyMMdd
#     DATA_VERSION                    00
#     PI_NAME                         R. Suggs
#     PI_AFFILIATION                  NASA Marshall Space Flight Center
#     TEXT                            ISS FPMU 1-sec Ionosphere Summary Wide Langmuir Probe (WLP) Density and Narrow                         
#                                      Langmuir Probe (NLP) Temperature Records                                                              
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Particles (space)
#     MISSION_GROUP                   ISS
#     LOGICAL_SOURCE                  iss_sp_fpmu
#     LOGICAL_FILE_ID                 iss_sp_fpmu_00000000_v00
#     LOGICAL_SOURCE_DESCRIPTION      ISS FPMU Summary Plasma Densities and Temperatures [Contact Rob.Suggs@nasa.gov                         
#                                      for support and use.]                                                                                 
#     TIME_RESOLUTION                 1 second
#     RULES_OF_USE                    Contact Rob Suggs for support and use.  Rob.Suggs@nasa.gov
#     GENERATED_BY                    Rob Suggs: Rob.Suggs@nasa.gov
#     GENERATION_DATE                 Sun May  9 21:07:54 2021
#     ACKNOWLEDGEMENT                 Steve Koontz,  NASA Johnson Space Center
#     LINK_TEXT                       This file contains scientific and technical data per NASA Policy Directive 2200.1B,                    
#                                      Section 1.a.5                                                                                         
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ISS/FPMU/PT1S
#     CDAWEB_PARENTS                  iss_sp_fpmu_00000000_v01
#                                     iss_sp_fpmu_20200904_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time
#       NOTES:  Time (dd-mm-yyyy hh:mm:ss.mms)
#  2. Latitude
#       NOTES:  Geodetic Latitude
#  3. Longitude
#       NOTES:  Geodetic Longitude
#  4. Altitude
#       NOTES:  Geodetic Altitude
#  5. Total Ion Density (=Electron Density)
#       NOTES:  Ion density derived from FPMU Wide Langmuir Probe.  Can be used also for electron density assuming quasineutrality
#  6. Electron Temperature [Accuracy Under Review]
#       NOTES:  Electron temperature derived from FPMU Narrow Langmuir Probe.
#  7. ISS Pitch Angle
#       NOTES:  This ISS pitch attitude information is necessary for proper derivation of the NLP  density.  NLP is a cylindrical Langmuir probe which is symmetric about roll and yaw axes.
#  8. Percent Solar Illumination
#       NOTES:  Percent solar illumination with no correction for atmospheric refraction
#  9. Time Code Correction
#       NOTES:  Flag indicating time code was correct in original file (0) or a corrupt time code was corrected during processing (1)
#
EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,LATITUDE_deg,LONGITUDE_deg,ALTITUDE_km,ION_DENSITY_m-3,ELECTRON_TEMPERATURE_K,ISS_PITCH_ANGLE_deg,SUNLIGHT_%,TIME_CODE_CORRECTION_
2020-09-04T17:04:22.431Z,6.08300,249.743,419.187,-1.00000e+31,-999.000,358.000,100.000,0
2020-09-04T17:04:22.431Z,6.08300,249.743,419.187,1.47000e+11,2336.00,358.000,100.000,0
2020-09-04T17:04:23.435Z,6.03200,249.779,419.191,1.44000e+11,2337.00,358.000,100.000,0
2020-09-04T17:04:24.436Z,5.98200,249.815,419.196,1.44000e+11,2171.00,358.000,100.000,0
2020-09-04T17:04:25.436Z,5.93100,249.852,419.201,1.43000e+11,2272.00,358.000,100.000,0
2020-09-04T17:04:26.435Z,5.88000,249.888,419.206,1.48000e+11,2094.00,358.000,100.000,0
2020-09-04T17:04:27.436Z,5.82900,249.924,419.210,1.44000e+11,2299.00,358.000,100.000,0
2020-09-04T17:04:28.435Z,5.77800,249.960,419.215,1.48000e+11,2360.00,358.000,100.000,0
2020-09-04T17:04:29.439Z,5.72800,249.997,419.220,1.46000e+11,2293.00,358.000,100.000,0
2020-09-04T17:04:30.440Z,5.67700,250.033,419.225,1.48000e+11,2343.00,358.000,100.000,0
2020-09-04T17:04:31.440Z,5.62600,250.069,419.230,1.46000e+11,2392.00,358.000,100.000,0
2020-09-04T17:04:32.443Z,5.57400,250.105,419.235,1.50000e+11,2321.00,358.000,100.000,0
2020-09-04T17:04:33.443Z,5.52300,250.142,419.240,1.47000e+11,2391.00,358.000,100.000,0
2020-09-04T17:04:34.444Z,5.47300,250.178,419.245,1.51000e+11,2394.00,358.000,100.000,0
2020-09-04T17:04:35.448Z,5.42200,250.214,419.250,1.47000e+11,2318.00,358.000,100.000,0
2020-09-04T17:04:36.447Z,5.37100,250.251,419.255,1.52000e+11,2249.00,358.000,100.000,0
2020-09-04T17:04:37.448Z,5.32000,250.287,419.261,1.51000e+11,2416.00,358.000,100.000,0
2020-09-04T17:04:38.447Z,5.26900,250.323,419.266,1.52000e+11,2383.00,358.000,100.000,0
2020-09-04T17:04:39.451Z,5.21800,250.359,419.271,1.49000e+11,2473.00,358.000,100.000,0
2020-09-04T17:04:40.452Z,5.16700,250.396,419.276,1.53000e+11,2405.00,358.000,100.000,0
2020-09-04T17:04:41.452Z,5.11700,250.432,419.281,1.50000e+11,2387.00,358.000,100.000,0
2020-09-04T17:04:42.451Z,5.06600,250.468,419.287,1.55000e+11,2442.00,358.000,100.000,0
2020-09-04T17:04:43.452Z,5.01500,250.504,419.292,1.53000e+11,2341.00,358.000,100.000,0
2020-09-04T17:04:44.456Z,4.96400,250.540,419.297,1.58000e+11,2251.00,358.000,100.000,0
2020-09-04T17:04:45.455Z,4.91300,250.576,419.303,1.53000e+11,2379.00,358.000,100.000,0
2020-09-04T17:04:46.456Z,4.86200,250.613,419.308,1.56000e+11,2323.00,358.000,100.000,0
2020-09-04T17:04:47.456Z,4.81100,250.649,419.314,1.56000e+11,2312.00,358.000,100.000,0
2020-09-04T17:04:48.459Z,4.76100,250.686,419.319,1.59000e+11,2312.00,358.000,100.000,0
2020-09-04T17:04:49.459Z,4.71000,250.722,419.325,1.54000e+11,2254.00,358.000,100.000,0
2020-09-04T17:04:50.460Z,4.65900,250.758,419.330,1.56000e+11,2262.00,358.000,100.000,0
2020-09-04T17:04:51.464Z,4.60700,250.794,419.336,1.55000e+11,2323.00,358.000,100.000,0
2020-09-04T17:04:52.463Z,4.55600,250.830,419.341,1.60000e+11,2212.00,358.000,100.000,0
2020-09-04T17:04:53.464Z,4.50500,250.866,419.347,1.55000e+11,2326.00,358.000,100.000,0
2020-09-04T17:04:54.463Z,4.45500,250.903,419.352,1.61000e+11,2277.00,358.000,100.000,0
2020-09-04T17:04:55.467Z,4.40400,250.939,419.358,1.56000e+11,2395.00,358.000,100.000,0
2020-09-04T17:04:56.468Z,4.35300,250.975,419.364,1.59000e+11,2173.00,358.000,100.000,0
2020-09-04T17:04:57.468Z,4.30200,251.011,419.369,1.55000e+11,2425.00,358.000,100.000,0
2020-09-04T17:04:58.467Z,4.25100,251.047,419.375,1.62000e+11,2237.00,358.000,100.000,0
2020-09-04T17:04:59.468Z,4.20000,251.083,419.381,1.57000e+11,2257.00,358.000,100.000,0
2020-09-04T17:05:00.467Z,4.14900,251.119,419.387,1.62000e+11,2065.00,358.000,100.000,0
2020-09-04T17:05:01.471Z,4.09800,251.155,419.393,1.61000e+11,2280.00,358.000,100.000,0
2020-09-04T17:05:02.472Z,4.04700,251.191,419.398,1.63000e+11,1990.00,358.000,100.000,0
2020-09-04T17:05:03.471Z,3.99600,251.227,419.404,1.61000e+11,2241.00,358.000,100.000,0
2020-09-04T17:05:04.475Z,3.94600,251.264,419.410,1.64000e+11,1983.00,358.000,100.000,0
2020-09-04T17:05:05.476Z,3.89500,251.300,419.416,1.62000e+11,2202.00,358.000,100.000,0
2020-09-04T17:05:06.476Z,3.84400,251.336,419.422,1.66000e+11,2036.00,358.000,100.000,0
2020-09-04T17:05:07.480Z,3.79300,251.372,419.428,1.67000e+11,2223.00,358.000,100.000,0
2020-09-04T17:05:08.479Z,3.74200,251.408,419.434,1.65000e+11,2005.00,358.000,100.000,1
2020-09-04T17:05:09.480Z,3.69100,251.444,419.440,1.65000e+11,2160.00,358.000,100.000,0
2020-09-04T17:05:10.479Z,3.64000,251.480,419.446,1.70000e+11,2185.00,358.000,100.000,0
2020-09-04T17:05:11.483Z,3.58800,251.516,419.452,1.64000e+11,2254.00,358.000,100.000,0
2020-09-04T17:05:12.484Z,3.53700,251.552,419.459,1.71000e+11,2252.00,358.000,100.000,0
2020-09-04T17:05:13.484Z,3.48700,251.588,419.465,1.67000e+11,2184.00,358.000,100.000,0
2020-09-04T17:05:14.483Z,3.43600,251.624,419.471,1.68000e+11,2248.00,358.000,100.000,0
2020-09-04T17:05:15.487Z,3.38500,251.661,419.477,1.66000e+11,2222.00,358.000,100.000,0
2020-09-04T17:05:16.488Z,3.33400,251.697,419.483,1.68000e+11,2263.00,358.000,100.000,0
2020-09-04T17:05:17.487Z,3.28300,251.733,419.490,1.69000e+11,2158.00,358.000,100.000,0
2020-09-04T17:05:18.488Z,3.23200,251.769,419.496,1.68000e+11,2338.00,358.000,100.000,0
2020-09-04T17:05:19.487Z,3.18100,251.805,419.502,1.70000e+11,2162.00,358.000,100.000,0
2020-09-04T17:05:20.490Z,3.13000,251.841,419.509,1.69000e+11,2289.00,358.000,100.000,1
2020-09-04T17:05:21.492Z,3.07900,251.877,419.515,1.67000e+11,2122.00,358.000,100.000,0
2020-09-04T17:05:22.492Z,3.02800,251.913,419.522,1.73000e+11,2187.00,358.000,100.000,0
2020-09-04T17:05:23.496Z,2.97700,251.949,419.528,1.68000e+11,2175.00,358.000,100.000,0
