EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,LATITUDE_deg,LONGITUDE_deg,ALTITUDE_km,ION_DENSITY_m-3,ELECTRON_TEMPERATURE_K,ISS_PITCH_ANGLE_deg,SUNLIGHT_%,TIME_CODE_CORRECTION_
2020-09-12T00:00:00.279Z,9.49800,99.8340,419.796,7.55000e+10,2579.00,358.000,100.000,0
2020-09-12T00:00:01.279Z,9.44700,99.8710,419.798,7.58000e+10,2364.00,358.000,100.000,0
2020-09-12T00:00:02.280Z,9.39600,99.9080,419.800,7.66000e+10,2431.00,358.000,100.000,0
2020-09-12T00:00:03.279Z,9.34600,99.9450,419.802,7.79000e+10,2366.00,358.000,100.000,0
2020-09-12T00:00:04.283Z,9.29500,99.9830,419.804,7.67000e+10,2586.00,358.000,100.000,0
2020-09-12T00:00:05.284Z,9.24500,100.020,419.806,7.75000e+10,-999.000,358.000,100.000,0
2020-09-12T00:00:06.283Z,9.19400,100.057,419.808,7.83000e+10,2529.00,358.000,100.000,0
2020-09-12T00:00:07.284Z,9.14400,100.094,419.810,7.76000e+10,2638.00,358.000,100.000,0
2020-09-12T00:00:08.284Z,9.09300,100.131,419.812,7.89000e+10,2740.00,358.000,100.000,0
2020-09-12T00:00:09.288Z,9.04200,100.168,419.814,7.93000e+10,2316.00,358.000,100.000,0
2020-09-12T00:00:10.287Z,8.99200,100.205,419.817,7.72000e+10,2325.00,358.000,100.000,0
2020-09-12T00:00:11.288Z,8.94100,100.241,419.819,7.74000e+10,2488.00,358.000,100.000,0
2020-09-12T00:00:12.287Z,8.89000,100.278,419.821,7.74000e+10,2369.00,358.000,100.000,0
2020-09-12T00:00:13.291Z,8.83900,100.315,419.824,7.89000e+10,2418.00,358.000,100.000,0
2020-09-12T00:00:14.292Z,8.78900,100.352,419.826,8.02000e+10,2515.00,358.000,100.000,0
2020-09-12T00:00:15.291Z,8.73800,100.389,419.828,7.97000e+10,-999.000,358.000,100.000,0
2020-09-12T00:00:16.295Z,8.68800,100.426,419.831,7.98000e+10,2547.00,358.000,100.000,0
2020-09-12T00:00:17.296Z,8.63700,100.462,419.833,7.99000e+10,2416.00,358.000,100.000,0
2020-09-12T00:00:18.296Z,8.58700,100.499,419.836,7.93000e+10,2374.00,358.000,100.000,0
2020-09-12T00:00:19.295Z,8.53600,100.536,419.838,8.01000e+10,2532.00,358.000,100.000,0
2020-09-12T00:00:20.299Z,8.48500,100.573,419.841,7.99000e+10,2570.00,358.000,100.000,0
2020-09-12T00:00:21.300Z,8.43500,100.610,419.843,8.19000e+10,2345.00,358.000,100.000,0
2020-09-12T00:00:22.299Z,8.38400,100.646,419.846,8.13000e+10,2284.00,358.000,100.000,0
2020-09-12T00:00:23.300Z,8.33300,100.683,419.848,8.08000e+10,2591.00,358.000,100.000,0
2020-09-12T00:00:24.304Z,8.28200,100.720,419.851,7.70000e+10,2524.00,358.000,100.000,0
2020-09-12T00:00:25.304Z,8.23200,100.756,419.854,8.17000e+10,-999.000,358.000,100.000,0
2020-09-12T00:00:26.303Z,8.18100,100.793,419.856,7.94000e+10,2535.00,358.000,100.000,0
2020-09-12T00:00:27.304Z,8.13000,100.830,419.859,7.93000e+10,2570.00,358.000,100.000,0
2020-09-12T00:00:28.303Z,8.08000,100.867,419.862,7.92000e+10,2338.00,358.000,100.000,0
2020-09-12T00:00:29.307Z,8.02900,100.903,419.865,7.88000e+10,2541.00,358.000,100.000,0
2020-09-12T00:00:30.308Z,7.97800,100.940,419.867,8.12000e+10,2611.00,358.000,100.000,0
2020-09-12T00:00:31.307Z,7.92800,100.977,419.870,8.08000e+10,2651.00,358.000,100.000,0
2020-09-12T00:00:32.311Z,7.87700,101.014,419.873,8.00000e+10,2266.00,358.000,100.000,0
2020-09-12T00:00:33.312Z,7.82600,101.050,419.876,8.24000e+10,2478.00,358.000,100.000,0
